year,quarter,period_end,region_code,org_code,org_name,specialty_code,specialty_name,occupied_beds
2025-26,Q1,June,,,England,100,General Surgery,9168.648351648357
2025-26,Q1,June,Y56,R1H,BARTS HEALTH NHS TRUST,100,General Surgery,168.3956043956044
2025-26,Q1,June,Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,100,General Surgery,89.52747252747253
2025-26,Q1,June,Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,100,General Surgery,183.93406593406593
2025-26,Q1,June,Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,100,General Surgery,25.384615384615383
2025-26,Q1,June,Y56,RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,100,General Surgery,34.0
2025-26,Q1,June,Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",100,General Surgery,69.75824175824175
2025-26,Q1,June,Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,100,General Surgery,92.0
2025-26,Q1,June,Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,100,General Surgery,66.83516483516483
2025-26,Q1,June,Y56,RJ6,CROYDON HEALTH SERVICES NHS TRUST,100,General Surgery,38.38461538461539
2025-26,Q1,June,Y56,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,100,General Surgery,46.81318681318681
2025-26,Q1,June,Y56,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,100,General Surgery,118.04395604395604
2025-26,Q1,June,Y56,RKE,WHITTINGTON HEALTH NHS TRUST,100,General Surgery,17.98901098901099
2025-26,Q1,June,Y56,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,100,General Surgery,17.285714285714285
2025-26,Q1,June,Y56,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,100,General Surgery,20.24175824175824
2025-26,Q1,June,Y56,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,100,General Surgery,65.51648351648352
2025-26,Q1,June,Y56,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,100,General Surgery,23.747252747252748
2025-26,Q1,June,Y56,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,100,General Surgery,36.59340659340659
2025-26,Q1,June,Y56,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,100,General Surgery,34.13186813186813
2025-26,Q1,June,Y56,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,100,General Surgery,74.93406593406593
