org_code,org_name,region_code,quarters_reported,quarters_above_92,quarters_above_95,avg_occupancy_total,max_occupancy_total
RLT,GEORGE ELIOT HOSPITAL NHS TRUST,Y60,4,4,4,98.86001745440605,99.32211374878949
RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,Y60,4,4,4,97.29274165688079,98.0629234125617
RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",Y61,4,4,3,96.60408524591925,98.36796224683752
RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,Y59,4,4,2,96.33895718943748,99.27042639153228
REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y62,4,4,4,96.02567415948269,96.90751403379655
RWV,DEVON PARTNERSHIP NHS TRUST,Y58,4,4,3,95.39836634806026,97.27072877348708
RVJ,NORTH BRISTOL NHS TRUST,Y58,4,4,3,95.34994203607582,96.03727369542067
RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,Y61,4,4,2,95.32200874925934,96.97600140651097
RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,Y58,4,4,2,95.31682713512735,95.86058613088571
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,Y59,4,4,2,95.28943536307332,95.9828632905556
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,Y62,4,4,2,95.07350853633277,95.95074455899199
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,Y56,4,4,2,94.97827454610007,97.02831084932548
RLQ,WYE VALLEY NHS TRUST,Y60,4,4,2,94.8047837871961,96.89162699523943
RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,Y56,4,4,1,94.74862448313286,96.82608916163716
RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,Y62,4,4,2,94.7196401931825,96.21629805326705
RX2,SUSSEX PARTNERSHIP NHS FOUNDATION TRUST,Y59,4,4,1,94.65266362211159,98.18174165579359
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,Y56,4,4,0,94.5056250870818,94.87697472640866
RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Y56,4,4,2,94.48006426244243,95.46950170750554
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,Y61,4,4,1,94.45176562058793,96.01446641465542
RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,Y58,4,4,1,94.38916503281885,95.70527407322061
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,Y60,4,4,1,94.33922067068426,95.41303162486369
RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,Y60,4,4,1,94.15200459945629,95.15200609930429
RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,Y61,4,4,0,94.06425714130329,94.32473600438139
RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,Y60,4,4,0,93.80950677802358,93.96683205591057
RNZ,SALISBURY NHS FOUNDATION TRUST,Y58,4,4,0,93.30175787789356,94.46849111049055
RN7,DARTFORD AND GRAVESHAM NHS TRUST,Y59,4,4,0,93.22583548301027,94.16819904679701
RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,Y60,4,4,0,93.19461842781496,94.09452837893019
RTQ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,Y58,4,4,0,92.76690417618323,93.47398768182413
