year,quarter,period_end,region_code,org_code,org_name,sector,available_beds,occupied_beds,occupancy_rate
2025-26,Q1,June,Y56,R1H,BARTS HEALTH NHS TRUST,General & Acute,1969.5384615384614,1859.978021978022,94.43725310777334
2025-26,Q1,June,Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,General & Acute,1036.5274725274726,948.4285714285714,91.50057249480513
2025-26,Q1,June,Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,General & Acute,1448.8241758241759,1420.7032967032967,98.0590550882489
2025-26,Q1,June,Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,General & Acute,142.84615384615384,110.0989010989011,77.07515962766367
2025-26,Q1,June,Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,General & Acute,388.6703296703297,366.94505494505495,94.41035935423676
2025-26,Q1,June,Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,General & Acute,159.27472527472528,142.8901098901099,89.71298468331723
2025-26,Q1,June,Y56,RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,General & Acute,390.3956043956044,334.74725274725273,85.74565107245398
2025-26,Q1,June,Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",General & Acute,991.0,876.6153846153846,88.45765737793992
2025-26,Q1,June,Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,General & Acute,1219.4615384615386,1000.6923076923077,82.06017788431211
2025-26,Q1,June,Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,General & Acute,983.2087912087912,915.4395604395604,93.10734084406293
2025-26,Q1,June,Y56,RJ6,CROYDON HEALTH SERVICES NHS TRUST,General & Acute,441.35164835164835,425.14285714285717,96.32746557777058
2025-26,Q1,June,Y56,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,General & Acute,844.1428571428571,806.6593406593406,95.55957665620892
2025-26,Q1,June,Y56,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,General & Acute,1352.2417582417581,1231.0549450549452,91.03808084255695
2025-26,Q1,June,Y56,RKE,WHITTINGTON HEALTH NHS TRUST,General & Acute,250.6813186813187,230.2967032967033,91.86831492197089
2025-26,Q1,June,Y56,RKL,WEST LONDON NHS TRUST,General & Acute,70.0,52.72527472527472,75.32182103610675
2025-26,Q1,June,Y56,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,General & Acute,219.94505494505495,173.25274725274724,78.77092180864351
2025-26,Q1,June,Y56,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,General & Acute,9.67032967032967,3.043956043956044,31.477272727272727
2025-26,Q1,June,Y56,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,General & Acute,202.23076923076923,173.62637362637363,85.85556702711516
2025-26,Q1,June,Y56,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,General & Acute,744.3516483516484,723.7912087912088,97.2378055982048
2025-26,Q1,June,Y56,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,General & Acute,273.989010989011,232.1098901098901,84.7150362972767
2025-26,Q1,June,Y56,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,General & Acute,854.6483516483516,669.5164835164835,78.33824077764777
2025-26,Q1,June,Y56,RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,General & Acute,74.56043956043956,69.95604395604396,93.82461311717023
2025-26,Q1,June,Y56,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,General & Acute,729.2197802197802,598.2087912087912,82.03408731294927
2025-26,Q1,June,Y56,RWK,EAST LONDON NHS FOUNDATION TRUST,General & Acute,26.0,21.384615384615383,82.24852071005917
2025-26,Q1,June,Y56,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,General & Acute,1033.142857142857,967.3516483516484,93.63193498978897
2025-26,Q1,June,Y58,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,General & Acute,1077.989010989011,970.945054945055,90.07003272271324
2025-26,Q1,June,Y58,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,General & Acute,976.9010989010989,960.5934065934066,98.33067110621162
2025-26,Q1,June,Y58,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,General & Acute,386.4065934065934,360.83516483516485,93.38224838608765
2025-26,Q1,June,Y58,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,General & Acute,334.97802197802196,313.74725274725273,93.6620411376833
2025-26,Q1,June,Y58,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,General & Acute,517.2417582417582,494.86813186813185,95.67443540334402
2025-26,Q1,June,Y58,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,General & Acute,662.8681318681319,631.2857142857143,95.23549012781619
2025-26,Q1,June,Y58,RH5,SOMERSET NHS FOUNDATION TRUST,General & Acute,1203.7362637362637,1067.2087912087911,88.6580244659485
2025-26,Q1,June,Y58,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,General & Acute,1101.7582417582419,1012.2307692307693,91.87412726910034
2025-26,Q1,June,Y58,RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,General & Acute,57.34065934065934,55.43956043956044,96.68455346876198
2025-26,Q1,June,Y58,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,General & Acute,1045.5604395604396,973.2307692307693,93.08221049755113
2025-26,Q1,June,Y58,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,General & Acute,561.5494505494505,536.6043956043956,95.55781687246825
2025-26,Q1,June,Y58,RNZ,SALISBURY NHS FOUNDATION TRUST,General & Acute,466.8791208791209,442.8901098901099,94.86183684037096
2025-26,Q1,June,Y58,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,General & Acute,856.8791208791209,817.2967032967033,95.38062993741664
2025-26,Q1,June,Y58,RVJ,NORTH BRISTOL NHS TRUST,General & Acute,946.1098901098901,916.8571428571429,96.90810258316299
2025-26,Q1,June,Y59,R1F,ISLE OF WIGHT NHS TRUST,General & Acute,288.2307692307692,269.4725274725275,93.49193640626787
2025-26,Q1,June,Y59,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,General & Acute,476.0,438.34065934065933,92.08837381106288
2025-26,Q1,June,Y59,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,General & Acute,1293.6153846153845,1184.7472527472528,91.58419626398458
2025-26,Q1,June,Y59,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,General & Acute,1203.5604395604396,1119.3406593406594,93.00244695226617
2025-26,Q1,June,Y59,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,General & Acute,1057.3956043956043,1009.1318681318681,95.43560271452772
2025-26,Q1,June,Y59,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,General & Acute,628.8571428571429,618.4175824175824,98.33991542305944
2025-26,Q1,June,Y59,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,General & Acute,857.989010989011,744.2857142857143,86.74769778551943
2025-26,Q1,June,Y59,RN7,DARTFORD AND GRAVESHAM NHS TRUST,General & Acute,541.7252747252747,498.4175824175824,92.00559871797472
2025-26,Q1,June,Y59,RNU,OXFORD HEALTH NHS FOUNDATION TRUST,General & Acute,114.75824175824175,106.79120879120879,93.0575505123049
2025-26,Q1,June,Y59,RPA,MEDWAY NHS FOUNDATION TRUST,General & Acute,620.4835164835165,515.4725274725274,83.07594219325587
2025-26,Q1,June,Y59,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,General & Acute,53.20879120879121,27.52747252747253,51.734820322180916
2025-26,Q1,June,Y59,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,General & Acute,1015.0,941.6703296703297,92.77540193796352
2025-26,Q1,June,Y59,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,General & Acute,441.34065934065933,399.0,90.40635426522584
2025-26,Q1,June,Y59,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,General & Acute,687.9560439560439,631.5384615384615,91.7992460545652
2025-26,Q1,June,Y59,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,General & Acute,1043.7912087912089,969.7472527472528,92.90624835500341
2025-26,Q1,June,Y59,RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,General & Acute,195.01098901098902,181.0989010989011,92.86599797137383
2025-26,Q1,June,Y59,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,General & Acute,682.5384615384615,607.7032967032967,89.03575856128543
