quarter,sector,avg_occupancy_rate,avg_available_beds,avg_occupied_beds,quarter_order
Q1,General & Acute,88.76193829327285,681.4367593191123,623.2002442002442,1
Q2,General & Acute,88.26941777126162,669.610248447205,608.802583286279,2
Q3,General & Acute,89.00498702919757,674.1833709768492,616.6815358554489,3
Q4,General & Acute,89.69342003690439,687.4000745712156,635.8181208053691,4
Q1,Learning Disabilities,61.87229312165072,23.93296703296703,14.412087912087912,1
Q2,Learning Disabilities,58.38355588301646,24.506521739130434,14.42282608695652,2
Q3,Learning Disabilities,56.44896339439331,23.734572230014024,14.592215988779804,3
Q4,Learning Disabilities,60.63445092040743,22.08925925925926,14.43,4
Q1,Maternity,60.83251450563678,62.94683948530102,38.41823987977834,1
Q2,Maternity,62.11906541646439,62.697788926049796,39.00854700854701,2
Q3,Maternity,61.737622749351836,62.31837606837607,38.1723337049424,3
Q4,Maternity,60.13571800085095,64.34834834834835,38.47687687687688,4
Q1,Mental Illness,85.58006922546599,310.2474489795918,275.64658555729983,1
Q2,Mental Illness,84.41424911474176,324.77503881987576,289.3433618012422,2
Q3,Mental Illness,83.50504916005045,322.3946040372671,287.41149068322983,3
Q4,Mental Illness,84.32236782549397,318.9869047619048,284.43531746031744,4
