quarter,specialty_code,specialty_name,total_occupied_beds,quarter_order
Q1,180,Accident & Emergency,638.1978021978022,1
Q2,180,Accident & Emergency,640.5108695652174,2
Q3,180,Accident & Emergency,626.4239130434783,3
Q4,180,Accident & Emergency,545.1444444444445,4
Q1,326,Acute Internal Medicine,2982.5164835164833,1
Q2,326,Acute Internal Medicine,2894.945652173913,2
Q3,326,Acute Internal Medicine,3127.1195652173915,3
Q4,326,Acute Internal Medicine,3159.9555555555557,4
Q1,710,Adult Mental Illness,8526.593406593407,1
Q2,710,Adult Mental Illness,8951.684782608696,2
Q3,710,Adult Mental Illness,8835.608695652174,3
Q4,710,Adult Mental Illness,8762.955555555556,4
Q1,317,Allergy,0.17582417582417584,1
Q2,317,Allergy,0.05434782608695652,2
Q3,317,Allergy,0.44565217391304346,3
Q4,317,Allergy,0.08888888888888889,4
Q1,190,Anaesthetics,78.45054945054945,1
Q2,190,Anaesthetics,89.5,2
Q3,190,Anaesthetics,82.91304347826087,3
Q4,190,Anaesthetics,83.16666666666667,4
Q1,310,Audiological Medicine,0.03296703296703297,1
Q2,310,Audiological Medicine,0.717391304347826,2
Q3,310,Audiological Medicine,0.06521739130434782,3
Q4,310,Audiological Medicine,0.13333333333333333,4
Q1,821,Blood Transfusion,0.01098901098901099,1
Q3,821,Blood Transfusion,0.010869565217391304,3
Q4,821,Blood Transfusion,0.022222222222222223,4
Q1,320,Cardiology,4535.505494505494,1
Q2,320,Cardiology,4445.445652173913,2
Q3,320,Cardiology,4470.358695652174,3
Q4,320,Cardiology,4539.1,4
Q1,170,Cardiothoracic Surgery,1053.142857142857,1
Q2,170,Cardiothoracic Surgery,1106.2391304347825,2
Q3,170,Cardiothoracic Surgery,1081.1521739130435,3
Q4,170,Cardiothoracic Surgery,1071.5111111111112,4
Q1,822,Chemical Pathology,9.241758241758241,1
Q2,822,Chemical Pathology,38.880434782608695,2
Q3,822,Chemical Pathology,0.16304347826086957,3
Q4,822,Chemical Pathology,0.07777777777777778,4
Q1,711,Child & Adolescent Psychiatry,386.7802197802198,1
Q2,711,Child & Adolescent Psychiatry,374.0108695652174,2
Q3,711,Child & Adolescent Psychiatry,374.6304347826087,3
Q4,711,Child & Adolescent Psychiatry,348.15555555555557,4
Q1,311,Clinical Genetics,0.6043956043956044,1
Q2,311,Clinical Genetics,1.1521739130434783,2
Q3,311,Clinical Genetics,0.923913043478261,3
Q4,311,Clinical Genetics,0.11111111111111112,4
Q1,303,Clinical Haematology,1684.7692307692307,1
Q2,303,Clinical Haematology,1693.9673913043478,2
Q3,303,Clinical Haematology,1659.858695652174,3
Q4,303,Clinical Haematology,1653.5555555555554,4
Q1,313,Clinical Immunology & Allergy,8.901098901098901,1
Q2,313,Clinical Immunology & Allergy,14.206521739130435,2
Q3,313,Clinical Immunology & Allergy,6.434782608695652,3
Q4,313,Clinical Immunology & Allergy,7.033333333333333,4
Q1,401,Clinical Neuro-Physiology,8.142857142857144,1
Q2,401,Clinical Neuro-Physiology,7.032608695652174,2
Q3,401,Clinical Neuro-Physiology,6.586956521739131,3
Q4,401,Clinical Neuro-Physiology,7.333333333333333,4
Q1,800,Clinical Oncology,774.3626373626373,1
Q2,800,Clinical Oncology,773.8369565217391,2
Q3,800,Clinical Oncology,759.7391304347826,3
Q4,800,Clinical Oncology,763.5333333333333,4
Q1,305,Clinical Pharmacology,39.395604395604394,1
Q2,305,Clinical Pharmacology,28.97826086956522,2
Q3,305,Clinical Pharmacology,36.20652173913044,3
Q4,305,Clinical Pharmacology,35.53333333333333,4
Q1,304,Clinical Physiology,0.07692307692307693,1
Q2,304,Clinical Physiology,0.10869565217391304,2
Q3,304,Clinical Physiology,0.11956521739130435,3
Q4,304,Clinical Physiology,0.14444444444444443,4
Q1,900,Community Medicine,83.94505494505493,1
Q2,900,Community Medicine,67.03260869565217,2
Q3,900,Community Medicine,68.4782608695652,3
Q4,900,Community Medicine,69.61111111111111,4
Q1,192,Critical Care Medicine,134.75824175824175,1
Q2,192,Critical Care Medicine,256.17391304347825,2
Q3,192,Critical Care Medicine,125.83695652173913,3
Q4,192,Critical Care Medicine,142.96666666666667,4
Q1,450,Dental Medicine Specialties,0.06593406593406594,1
Q2,450,Dental Medicine Specialties,0.021739130434782608,2
Q3,450,Dental Medicine Specialties,0.10869565217391304,3
Q4,450,Dental Medicine Specialties,0.08888888888888888,4
Q1,330,Dermatology,47.8021978021978,1
Q2,330,Dermatology,37.82608695652174,2
Q3,330,Dermatology,47.5,3
Q4,330,Dermatology,32.52222222222222,4
Q1,120,ENT,765.8901098901099,1
Q2,120,ENT,763.0,2
Q3,120,ENT,777.2282608695652,3
