specialty_code,specialty_name,total_occupied_beds,avg_occupied_beds,provider_quarter_records
300,General Medicine,82342.65376917768,175.9458413871318,468
430,Geriatric Medicine,65555.76051388225,134.8883961190993,486
100,General Surgery,35577.46839995753,73.96563076914246,481
710,Adult Mental Illness,35076.84244040983,183.64838974036562,191
110,Trauma & Orthopaedics,32350.369044964697,64.8303988877048,499
340,Thoracic Medicine,23242.85160853639,49.98462711513203,465
320,Cardiology,17990.40984233158,38.52336154674857,467
501,Obstetrics,17796.03044274566,38.85596166538354,458
712,Forensic Psychiatry,15010.004292084726,117.26565853191192,128
301,Gastroenterology,14720.14656527048,31.656229172624688,465
420,Paediatrics,12441.221481658438,26.583806584740252,468
326,Acute Internal Medicine,12164.537256463344,49.65117247536059,245
715,Old Age Psychiatry,12055.737341402559,61.82429405847466,195
302,Endocrinology,9217.736433614695,22.373146683530813,412
314,Rehabilitation,7152.6875935658545,27.831469235664805,257
101,Urology,6941.186207994903,15.089535234771528,460
361,Nephrology,6888.99762435632,25.705215016254925,268
303,Clinical Haematology,6692.150873281308,15.895845304706196,421
400,Neurology,5417.613521261347,18.490148536728146,293
150,Neurosurgery,5026.359144237405,38.664301109518505,130
502,Gynaecology,4694.359714922758,9.903712478739996,474
170,Cardiothoracic Surgery,4312.045272601795,33.953112382691295,127
370,Medical Oncology,3312.8279768540638,11.191986408290756,296
120,ENT,3071.6405929818975,6.933725943525728,443
800,Clinical Oncology,3071.4720576524924,11.008860421693521,279
180,Accident & Emergency,2450.277029250942,5.990897382031643,409
350,Infectious Diseases,2426.798635663853,21.102596831859593,115
107,Vascular Surgery,2244.9358337314857,14.208454643870162,158
700,Learning Disability,1750.306115623507,14.465339798541379,121
160,Plastic Surgery,1712.2052449965493,6.932005040471859,247
711,Child & Adolescent Psychiatry,1483.5770796836014,12.363142330696679,120
410,Rheumatology,1271.8534055316663,4.693185998271831,271
315,Palliative Medicine,1088.0149147953496,8.369345498425766,130
171,Paediatric Surgery,751.4184769336944,4.847861141507706,155
823,Haematology,723.8357965705792,5.3223220336072,136
192,Critical Care Medicine,659.7357779901258,3.6856747373750047,179
145,Oral & Maxillo Facial Surgery,621.2687344056909,2.8762441407670876,216
140,Oral Surgery,358.6458432871476,1.3636724079359226,263
321,Paediatric Cardiology,348.09895684026117,5.6144993038751805,62
190,Anaesthetics,334.030259595477,1.1638685003326725,287
130,Ophthalmology,327.2148802887933,0.8283921019969451,395
900,Community Medicine,289.0670356213834,13.765096934351591,21
810,Radiology,210.75462122418645,0.8532575758064229,247
421,Paediatric Neurology,180.19873387482082,2.2246757268496395,81
330,Dermatology,165.65050698094177,1.0162607790241827,163
360,Genito-Urinary Medicine,150.0415883633275,4.2869025246665,35
305,Clinical Pharmacology,140.1137203376334,4.378553760551044,32
822,Chemical Pathology,48.36301428040559,4.030251190033799,12
713,Psychotherapy,36.69715453628497,4.0774616151427745,9
313,Clinical Immunology & Allergy,36.57573658225832,0.9625193837436401,38
401,Clinical Neuro-Physiology,29.095755693581783,0.7273938923395445,40
831,Medical Microbiology and Virology,15.357304772522165,0.8082791985537982,19
352,Tropical Medicine,15.260543080108297,2.180077582872614,7
142,Paediatric Dentistry,5.125672877846791,0.08267214319107727,62
833,Medical Microbiology,4.965700483091787,1.2414251207729468,4
830,Immunopathology,4.927931730105644,0.5475479700117382,9
311,Clinical Genetics,2.7915936720284544,0.18610624480189697,15
371,Nuclear Medicine,2.109125656951744,0.11100661352377598,19
141,Restorative Dentistry,1.4374236874236874,0.0798568715235382,18
310,Audiological Medicine,0.9489090619525402,0.09489090619525402,10
317,Allergy,0.7647130647130647,0.08496811830145162,9
143,Orthodontics,0.7646944842597017,0.05462103458997869,14
820,General Pathology,0.6739130434782609,0.08423913043478261,8
824,Histopathology,0.6045707915273133,0.04030471943515422,15
451,Special Care Dentistry,0.5812363964537878,0.08303377092196969,7
460,Medical Ophthalmology,0.48526570048309176,0.12131642512077294,4
304,Clinical Physiology,0.44962839093273876,0.08992567818654776,5
146,Endontics,0.32873865265169616,0.08218466316292404,4
450,Dental Medicine Specialties,0.2852577374316505,0.0259325215846955,11
147,Peridontics,0.2222222222222222,0.2222222222222222,1
325,Sport and Exercise Medicine,0.14142379359770665,0.04714126453256889,3
901,Occupational Medicine,0.07644794818707862,0.025482649395692874,3
149,Surgical Dentistry,0.05531400966183575,0.027657004830917875,2
821,Blood Transfusion,0.044080798428624515,0.014693599476208172,3
