year,quarter,period_end,region_code,org_code,org_name,available_total,occupied_total,occupancy_total,available_general_acute,occupied_general_acute,occupancy_general_acute,available_learning_disabilities,occupied_learning_disabilities,occupancy_learning_disabilities,available_maternity,occupied_maternity,occupancy_maternity,available_mental_illness,occupied_mental_illness,occupancy_mental_illness,occupancy_band,high_occupancy_92,high_occupancy_95
2025-26,Q1,June,Y56,R1H,BARTS HEALTH NHS TRUST,2162.736263736264,1996.5824175824175,92.31742450802554,1969.5384615384614,1859.978021978022,94.43725310777334,0.0,0.0,,193.1978021978022,136.6043956043956,70.70701325294351,0.0,0.0,,92–94.9% High occupancy,True,False
2025-26,Q1,June,Y56,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,1097.5274725274726,990.010989010989,90.2037546933667,1036.5274725274726,948.4285714285714,91.50057249480513,0.0,0.0,,61.0,41.582417582417584,68.1678976760944,0.0,0.0,,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y56,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,1537.7142857142858,1456.6923076923076,94.7310122059286,1448.8241758241759,1420.7032967032967,98.0590550882489,0.0,0.0,,88.86813186813187,35.967032967032964,40.47236305181154,0.02197802197802198,0.02197802197802198,100.0,92–94.9% High occupancy,True,False
2025-26,Q1,June,Y56,RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,142.84615384615384,110.0989010989011,77.07515962766367,142.84615384615384,110.0989010989011,77.07515962766367,0.0,0.0,,0.0,0.0,,0.0,0.0,,Below 85%,False,False
2025-26,Q1,June,Y56,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,451.4725274725275,402.53846153846155,89.16123064940122,388.6703296703297,366.94505494505495,94.41035935423676,0.0,0.0,,62.8021978021978,35.59340659340659,56.675415573053364,0.0,0.0,,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y56,RAT,NORTH EAST LONDON NHS FOUNDATION TRUST,400.25274725274727,361.010989010989,90.19575542926172,159.27472527472528,142.8901098901099,89.71298468331723,0.0,0.0,,0.0,0.0,,240.97802197802199,218.12087912087912,90.51484335811027,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y56,RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,445.3956043956044,376.3076923076923,84.48841627396314,390.3956043956044,334.74725274725273,85.74565107245398,0.0,0.0,,55.0,41.56043956043956,75.56443556443557,0.0,0.0,,Below 85%,False,False
2025-26,Q1,June,Y56,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",1057.0,932.6153846153846,88.23229750382069,991.0,876.6153846153846,88.45765737793992,0.0,0.0,,66.0,56.0,84.84848484848484,0.0,0.0,,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y56,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1295.4615384615386,1060.0,81.82411970785583,1219.4615384615386,1000.6923076923077,82.06017788431211,0.0,0.0,,76.0,59.30769230769231,78.03643724696356,0.0,0.0,,Below 85%,False,False
2025-26,Q1,June,Y56,RJ2,LEWISHAM AND GREENWICH NHS TRUST,1058.2087912087911,978.4945054945055,92.46705504844388,983.2087912087912,915.4395604395604,93.10734084406293,0.0,0.0,,75.0,63.05494505494506,84.07326007326009,0.0,0.0,,92–94.9% High occupancy,True,False
